path, category, name, more_names

backenza.png, ,    Backenza Pattern, Backenza
colorful.png, ,    Colorful Pattern, Colurful
matrix1.png, ,     Matrix 1 Pattern, Matrix 1
matrix2.png, ,     Matrix 2 Pattern, Matrix 2
matrix3.png, ,     Matrix 3 Pattern, Matrix 3
midnight.png, ,    Midnight Pattern, Midnight
purple.png, ,      Purple Pattern,
snowy.png, ,       Snowy Pattern,   Snowy
swamp.png, ,       Swamp Pattern,   Swamp

rainbow1.png, ,     Rainbow 1,
rainbow2.png, ,     Rainbow 2,
rainbow3.png, ,     Rainbow 3,
rainbow4.png, ,     Rainbow 4,


flag_usa.png, ,     Flag USA,  USA | Stars & Stripes | Star-Spangled Banner | Old Glory
