id, category, name, more_names
0, , green, 
1, , brown, 
2, , gray, 
3, , red, 
4, , gold, 
5, , bojangles, 
6, , Earring Gold, 
7, , Earrings Double Gold, 
8, , Earring Silver, 
9, , Earrings Double Silver, 
10, , black_shades, 
11, , blue_shades, 
12, , orange_shades, 
13, , cool_shades, 
14, , blue_flipped_cap, 
15, , red_flipped_cap, 
16, , Charcoal Flipped Cap, Flipped Cap
17, , chef, 
18, , halo, 
19, , horns, 
20, , orange_beanie, 
21, , red_beanie, 
22, , straw_hat, 
23, , blue_hoodie, 
24, , hoodie, 
25, , blue_shirt, 
26, , white_shirt, 
27, , green_shirt, 
28, , blue_sweater, 
29, , white_sweater, 
30, , white_turtleneck, 
31, , suit-blue_tie, 
32, , suit-open, 
33, , suit-purple_tie, 
