id, name, type, more_names
0, brave-black, ?, 
1, brave-blue, ?, 
2, brave-brown, ?, 
3, brave-gray, ?, 
4, brave-green, ?, 
5, brave-pink, ?, 
6, brave-purple, ?, 
7, brave-red, ?, 
8, brave-white, ?, 
9, crescent-black, ?, 
10, crescent-blue, ?, 
11, crescent-brown, ?, 
12, crescent-gray, ?, 
13, crescent-green, ?, 
14, crescent-pink, ?, 
15, crescent-purple, ?, 
16, crescent-red, ?, 
17, crescent-white, ?, 
18, emperor-black, ?, 
19, emperor-blue, ?, 
20, emperor-brown, ?, 
21, emperor-gray, ?, 
22, emperor-green, ?, 
23, emperor-pink, ?, 
24, emperor-purple, ?, 
25, emperor-red, ?, 
26, emperor-white, ?, 
27, guardian-black, ?, 
28, guardian-blue, ?, 
29, guardian-brown, ?, 
30, guardian-gray, ?, 
31, guardian-green, ?, 
32, guardian-pink, ?, 
33, guardian-purple, ?, 
34, guardian-red, ?, 
35, guardian-white, ?, 
36, professor-black, ?, 
37, professor-blue, ?, 
38, professor-brown, ?, 
39, professor-gray, ?, 
40, professor-green, ?, 
41, professor-pink, ?, 
42, professor-purple, ?, 
43, professor-red, ?, 
44, professor-white, ?, 
45, sage-black, ?, 
46, sage-blue, ?, 
47, sage-brown, ?, 
48, sage-gray, ?, 
49, sage-green, ?, 
50, sage-pink, ?, 
51, sage-purple, ?, 
52, sage-red, ?, 
53, sage-white, ?, 
54, stark-black, ?, 
55, stark-blue, ?, 
56, stark-brown, ?, 
57, stark-gray, ?, 
58, stark-green, ?, 
59, stark-pink, ?, 
60, stark-purple, ?, 
61, stark-red, ?, 
62, stark-white, ?, 
63, tabby-black, ?, 
64, tabby-blue, ?, 
65, tabby-brown, ?, 
66, tabby-gray, ?, 
67, tabby-green, ?, 
68, tabby-pink, ?, 
69, tabby-purple, ?, 
70, tabby-red, ?, 
71, tabby-white, ?, 
72, tranquil-black, ?, 
73, tranquil-blue, ?, 
74, tranquil-brown, ?, 
75, tranquil-gray, ?, 
76, tranquil-green, ?, 
77, tranquil-pink, ?, 
78, tranquil-purple, ?, 
79, tranquil-red, ?, 
80, tranquil-white, ?, 
81, brave-golden, ?, 
82, crescent-golden, ?, 
83, emperor-golden, ?, 
84, guardian-golden, ?, 
85, professor-golden, ?, 
86, sage-golden, ?, 
87, stark-golden, ?, 
88, tabby-golden, ?, 
89, tranquil-golden, ?, 
90, ruby_skeleton, ?, 
91, skeleton, ?, 
92, robot, ?, 
93, long orange, ?, 
94, short orange, ?, 
95, small orange, ?, 
96, long golden, ?, 
97, short golden, ?, 
98, small golden, ?, 
99, long ruby, ?, 
100, short ruby, ?, 
101, small ruby, ?, 
102, long skeleton, ?, 
103, short skeleton, ?, 
104, small skeleton, ?, 
105, long robot, ?, 
106, short robot, ?, 
107, small robot, ?, 
108, angry-blue, ?, 
109, angry-gray, ?, 
110, angry-green, ?, 
111, angry-purple, ?, 
112, angry-red, ?, 
113, angry-white, ?, 
114, angry-yellow, ?, 
115, discerning-blue, ?, 
116, discerning-gray, ?, 
117, discerning-green, ?, 
118, discerning-purple, ?, 
119, discerning-red, ?, 
120, discerning-white, ?, 
121, discerning-yellow, ?, 
122, open-blue, ?, 
123, open-gray, ?, 
124, open-green, ?, 
125, open-purple, ?, 
126, open-red, ?, 
127, open-white, ?, 
128, open-yellow, ?, 
129, relaxed-blue, ?, 
130, relaxed-gray, ?, 
131, relaxed-green, ?, 
