id, category, name, more_names
0, , brave-black, 
1, , crescent-black, 
2, , emperor-black, 
3, , guardian-black, 
4, , professor-black, 
5, , sage-black, 
6, , stark-black, 
7, , tabby-black, 
8, , tranquil-black, 
9, , brave-gray, 
10, , crescent-gray, 
11, , emperor-gray, 
12, , guardian-gray, 
13, , professor-gray, 
14, , sage-gray, 
15, , stark-gray, 
16, , tabby-gray, 
17, , tranquil-gray, 
18, , brave-brown, 
19, , crescent-brown, 
20, , emperor-brown, 
21, , guardian-brown, 
22, , professor-brown, 
23, , sage-brown, 
24, , stark-brown, 
25, , tabby-brown, 
26, , tranquil-brown, 
27, , brave-blue, 
28, , crescent-blue, 
29, , emperor-blue, 
30, , guardian-blue, 
31, , professor-blue, 
32, , sage-blue, 
33, , stark-blue, 
34, , tabby-blue, 
35, , tranquil-blue, 
36, , brave-green, 
37, , crescent-green, 
38, , emperor-green, 
39, , guardian-green, 
40, , professor-green, 
41, , sage-green, 
42, , stark-green, 
43, , tabby-green, 
44, , tranquil-green, 
45, , brave-pink, 
46, , crescent-pink, 
47, , emperor-pink, 
48, , guardian-pink, 
49, , professor-pink, 
50, , sage-pink, 
51, , stark-pink, 
52, , tabby-pink, 
53, , tranquil-pink, 
54, , brave-purple, 
55, , crescent-purple, 
56, , emperor-purple, 
57, , guardian-purple, 
58, , professor-purple, 
59, , sage-purple, 
60, , stark-purple, 
61, , tabby-purple, 
62, , tranquil-purple, 
63, , brave-red, 
64, , crescent-red, 
65, , emperor-red, 
66, , guardian-red, 
67, , professor-red, 
68, , sage-red, 
69, , stark-red, 
70, , tabby-red, 
71, , tranquil-red, 
72, , brave-white, 
73, , crescent-white, 
74, , emperor-white, 
75, , guardian-white, 
76, , professor-white, 
77, , sage-white, 
78, , stark-white, 
79, , tabby-white, 
80, , tranquil-white, 
81, , skeleton-bone, 
82, , ruby_skeleton-legendary_bone, 
83, , robot-metal, 
84, , golden-legendary_crescent, 
85, , golden-legendary_emperor, 
86, , golden-legendary_professor, 
87, , golden-legendary_sage, 
88, , glitch-legendary_brave, 
89, , glitch-legendary_crescent, 
90, , glitch-legendary_emperor, 
91, , glitch-legendary_guardian, 
92, , glitch-legendary_professor, 
93, , glitch-legendary_sage, 
94, , cosmic-legendary_brave, 
95, , cosmic-legendary_crescent, 
96, , cosmic-legendary_emperor, 
97, , cosmic-legendary_guardian, 
98, , cosmic-legendary_professor, 
99, , cosmic-legendary_sage, 
100, , enlightened-legendary_brave, 
101, , enlightened-legendary_crescent, 
102, , enlightened-legendary_emperor, 
103, , enlightened-legendary_guardian, 
104, , enlightened-legendary_professor, 
105, , enlightened-legendary_sage, 
