id, name, type, more_names
0, head-aardvark, ?, 
1, head-abstract, ?, 
2, head-ape, ?, 
3, head-bag, ?, 
4, head-bagpipe, ?, 
5, head-banana, ?, 
6, head-bank, ?, 
7, head-baseball-gameball, ?, 
8, head-basketball, ?, 
9, head-bat, ?, 
10, head-bear, ?, 
11, head-beer, ?, 
12, head-beet, ?, 
13, head-bell, ?, 
14, head-bigfoot-yeti, ?, 
15, head-bigfoot, ?, 
16, head-blackhole, ?, 
17, head-blueberry, ?, 
18, head-bomb, ?, 
19, head-bonsai, ?, 
20, head-boombox, ?, 
21, head-boot, ?, 
22, head-box, ?, 
23, head-boxingglove, ?, 
24, head-brain, ?, 
25, head-bubble-speech, ?, 
26, head-bubblegum, ?, 
27, head-burger-dollarmenu, ?, 
28, head-cake, ?, 
29, head-calculator, ?, 
30, head-calendar, ?, 
31, head-camcorder, ?, 
32, head-cannedham, ?, 
33, head-car, ?, 
34, head-cash-register, ?, 
35, head-cassettetape, ?, 
36, head-cat, ?, 
37, head-cd, ?, 
38, head-chain, ?, 
39, head-chainsaw, ?, 
40, head-chameleon, ?, 
41, head-chart-bars, ?, 
42, head-cheese, ?, 
43, head-chefhat, ?, 
44, head-cherry, ?, 
45, head-chicken, ?, 
46, head-chilli, ?, 
47, head-chipboard, ?, 
48, head-chips, ?, 
49, head-chocolate, ?, 
50, head-cloud, ?, 
51, head-clover, ?, 
52, head-clutch, ?, 
53, head-coffeebean, ?, 
54, head-cone, ?, 
55, head-console-handheld, ?, 
56, head-cookie, ?, 
57, head-cordlessphone, ?, 
58, head-cottonball, ?, 
59, head-cow, ?, 
60, head-crab, ?, 
61, head-crane, ?, 
62, head-croc-hat, ?, 
63, head-crown, ?, 
64, head-crt-bsod, ?, 
65, head-crystalball, ?, 
66, head-diamond-blue, ?, 
67, head-diamond-red, ?, 
68, head-dictionary, ?, 
69, head-dino, ?, 
70, head-dna, ?, 
71, head-dog, ?, 
72, head-doughnut, ?, 
73, head-drill, ?, 
74, head-duck, ?, 
75, head-ducky, ?, 
76, head-earth, ?, 
77, head-egg, ?, 
78, head-faberge, ?, 
79, head-factory-dark, ?, 
80, head-fan, ?, 
81, head-fence, ?, 
82, head-film-35mm, ?, 
83, head-film-strip, ?, 
84, head-fir, ?, 
85, head-firehydrant, ?, 
86, head-flamingo, ?, 
87, head-flower, ?, 
88, head-fox, ?, 
89, head-frog, ?, 
90, head-garlic, ?, 
91, head-gavel, ?, 
92, head-ghost-b, ?, 
93, head-glasses-big, ?, 
94, head-gnome, ?, 
